gd_diff,streak_diff,weighted_diff,form_diff,home_form,away_form,corners_diff,shotsontarget_diff,shots_diff,goals_avg_diff,overall_diff,attack_diff,midfield_diff,defense_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,h2h_games,home_position,away_position,position_diff,home_points,away_points,points_diff,B365H,B365D,B365A,prob_home,prob_draw,prob_away,prob_home_norm,prob_draw_norm,prob_away_norm,h2h_confidence,away_advantage,season_trend,position_form_home,position_form_away,strength_balance,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Result,Season
1,0.0,0.0,0.0,0.6699999999999999,0.6699999999999999,2.0,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0,15,16,-1,1,1,0,2.5,3.2,2.75,0.4,0.3125,0.36363636363636365,0.3717001055966209,0.29039070749736007,0.337909186906019,0.0,1.0659560293137909,0.0,22.058823529411768,23.529411764705884,1.470588235294116,1.1800044,0.24706319,0.44597518,0.04678285,0.07615775,1.6485114,0.87024534,1.6893988,0.0,0.70894504,1.2634255,2.2093449,2.089354,0.0,0.8049273,0.0,2,2006
-2,-0.16666666666666666,-0.1111111111111111,-0.22109999999999996,0.44889999999999997,0.6699999999999999,-2.0,2.0,7.5,-0.5,-4.0,-4.0,-4.0,-4.0,0,0,0,0.0,0.0,0,34,13,21,0,1,-1,2.5,3.2,2.75,0.4,0.3125,0.36363636363636365,0.3717001055966209,0.29039070749736007,0.337909186906019,0.0,0.3822405174948545,0.0,74.09021573327523,19.11764705882353,54.9725686744517,0.12199134,1.1907375,1.8248084,2.1789877,0.0,0.5300963,0.0,0.33280474,0.0,1.297438,0.0,2.2141337,1.256252,0.0,0.0,0.9934565,1,2006
-4,-0.6666666666666666,-0.7777777777777778,-0.8811000000000001,0.44889999999999997,1.33,1.5,-3.0,-5.0,-0.5,0.0,-2.0,0.0,1.0,0,0,0,0.0,0.0,0,35,7,28,0,4,-4,2.75,3.2,2.5,0.36363636363636365,0.3125,0.4,0.337909186906019,0.29039070749736007,0.3717001055966209,0.0,0.19994287346472436,0.0,76.26933972543038,5.223880597014925,71.04545912841546,0.0,0.0,0.47983465,3.2072823,0.0511868,1.6463404,1.2604644,1.0720347,0.0,2.8823912,0.4909411,3.3308048,2.25744,1.2425945,0.88387096,1.056923,2,2006
2,0.33333333333333337,0.2222222222222222,0.22110000000000007,0.8911,0.6699999999999999,4.0,2.0,0.5,0.5,13.0,16.0,14.0,9.0,0,0,0,0.0,0.0,0,10,15,-5,3,1,2,1.22,5.5,13.0,0.819672131147541,0.18181818181818182,0.07692307692307693,0.7600722865950887,0.1685978526629106,0.07132986074200064,0.0,1.4985014985014986,0.0,11.097547442015314,22.058823529411768,10.961276087396454,0.6248404,0.0,1.3397496,0.0,0.28463605,0.75376713,0.9983569,1.0814118,2.1576116,0.0,1.8986738,0.0,2.9783912,1.2653904,3.217944,0.0,0,2006
-5,-0.5,-0.33333333333333337,-0.6600000000000001,1.0,1.6600000000000001,3.5,0.0,-1.0,-0.5,-5.0,-7.0,-5.0,-3.0,0,0,0,0.0,0.0,0,11,3,8,3,6,-3,2.62,3.2,2.6,0.38167938931297707,0.3125,0.3846153846153846,0.3538016669501616,0.28967511481544483,0.3565232182343936,0.0,0.2724795640326976,0.0,10.89108910891089,1.7964071856287425,9.094681923282147,0.0,0.0,0.9835423,1.4246734,0.0,2.0345862,0.7486009,1.7283787,0.0,0.65242934,1.1713994,2.6897626,1.1825001,0.18102497,0.9832811,0.658624,1,2006
1,0.0,-0.1111111111111111,-0.2178,0.6699999999999999,0.8877999999999999,1.5,2.5,6.5,1.0,-3.0,-3.0,-3.0,-3.0,0,0,0,0.0,0.0,0,14,15,-1,1,1,0,2.3,3.25,3.0,0.4347826086956522,0.3076923076923077,0.3333333333333333,0.40414507772020725,0.2860103626943005,0.3098445595854922,0.0,1.0706638115631693,0.0,20.58823529411765,16.707507239919806,3.880728054197842,0.8001915,0.13548625,1.6272537,0.038374543,0.034978777,1.4918371,0.83662677,1.0133843,0.0,0.08511871,1.2892227,1.8203621,1.2036023,0.0,0.24435118,0.0,0,2006
1,0.33333333333333337,0.2222222222222222,0.5478000000000001,1.7689000000000001,1.2211,0.0,5.0,5.0,0.0,9.0,8.0,10.0,10.0,0,0,0,0.0,0.0,0,6,10,-4,6,4,2,1.2,5.5,17.0,0.8333333333333334,0.18181818181818182,0.058823529411764705,0.7759336099585062,0.16929460580912864,0.054771784232365145,0.0,1.663893510815308,0.0,3.372870875259992,8.12281699293315,4.749946117673158,0.6579537,0.05364436,2.1771622,0.0,0.0,0.28742105,0.16976911,0.0,2.9702969,0.0,0.6661383,0.0,2.3769958,0.6998693,2.84404,0.0,0,2006
0,-0.2222222222222222,-0.2777777777777778,-0.5966852100000001,0.6211147899999999,1.2178,-1.0,-4.333333333333334,-8.333333333333332,0.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0,14,11,3,2,4,-2,2.1,3.25,3.4,0.47619047619047616,0.3076923076923077,0.29411764705882354,0.44173495902458526,0.28542874275434743,0.27283629822106736,0.0,0.7851534618129907,0.0,22.182969282022377,8.95911386219254,13.223855419829837,0.9738858,0.0,0.0,0.5129768,0.23387448,1.6631699,0.6180068,0.69494617,0.0,0.9933593,1.726222,2.0087175,1.4892027,2.1814866,0.908808,0.0,0,2006
-3,-0.3888888888888889,-0.611111111111111,-0.5511,0.44889999999999997,1.0,-0.833333333333333,1.666666666666667,3.833333333333334,0.16666666666666663,-6.0,-6.0,-6.0,-6.0,0,0,0,0.0,0.0,0,16,14,2,1,3,-2,2.5,3.2,2.75,0.4,0.3125,0.36363636363636365,0.3717001055966209,0.29039070749736007,0.337909186906019,0.0,0.8744534665833853,0.0,34.86598387448246,13.861386138613861,21.0045977358686,0.1288355,0.30577213,1.603838,0.99762666,0.038235456,1.9907291,0.5196719,0.20754397,0.0,0.32769805,0.74506474,2.161294,0.7030579,0.0,0.089918375,0.54417616,0,2006
5,0.6666666666666667,0.7222222222222222,0.9562740000000001,1.478137,0.521863,-4.333333333333334,0.33333333333333304,-1.666666666666666,0.6666666666666666,6.0,8.0,6.0,4.0,0,0,0,0.0,0.0,0,3,16,-13,7,1,6,1.61,3.6,5.5,0.6211180124223602,0.2777777777777778,0.18181818181818182,0.574729325708978,0.2570317262198485,0.16823894807117354,0.0,5.3156146179401995,0.0,2.015943424563733,30.08293489112798,28.066991466564247,3.9459562,1.3769567,0.47532663,0.0,0.029981196,0.406076,0.0,0.40328038,0.4360751,0.0,1.4795673,0.0,1.7305062,1.5654411,1.1775764,0.0,0,2006
